,Date,High,Low,Open,Close,Volume,Adj Close,Ticker,Organization,1_Day_Close_Change,1_Week_Close_Change,1_Month_Close_Change,1_Day_Volume_Change,1_Week_Volume_Change,1_Month_Volume_Change,Day_Class,Month_Class,Week_Class
0,2014-09-19,99.6999969482422,89.94999694824219,92.6999969482422,93.88999938964844,271879400,93.88999938964844,BABA,,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
1,2014-09-20,92.9499969482422,89.5,92.6999969482422,89.88999938964844,66657800,89.88999938964844,BABA,,-0.042603046394747435,0.0,0.0,-0.7548258529333226,0.0,0.0,0,1,1
2,2014-09-21,92.9499969482422,89.5,92.6999969482422,89.88999938964844,66657800,89.88999938964844,BABA,,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
3,2014-09-22,92.9499969482422,89.5,92.6999969482422,89.88999938964844,66657800,89.88999938964844,BABA,,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
4,2014-09-23,90.4800033569336,86.62000274658203,88.94000244140625,87.16999816894531,39009800,87.16999816894531,BABA,,-0.030259219481275856,0.0,0.0,-0.4147751650969579,0.0,0.0,0,1,1
5,2014-09-24,90.56999969482422,87.22000122070312,88.47000122070312,90.56999969482422,32088000,90.56999969482422,BABA,,0.03900426290349723,0.0,0.0,-0.17743746443201447,0.0,0.0,1,1,1
6,2014-09-25,91.5,88.5,91.08999633789062,88.91999816894531,28598000,88.91999816894531,BABA,,-0.018217969873452478,0.0,0.0,-0.10876340064821743,0.0,0.0,0,1,1
7,2014-09-26,90.45999908447266,88.66000366210938,89.7300033569336,90.45999908447266,18340000,90.45999908447266,BABA,,0.017318949024283548,-0.036532115533850384,0.0,-0.35869641233652705,-0.932543620443476,0.0,1,1,0
8,2014-09-27,89.69999694824219,88.0199966430664,89.62000274658203,88.75,25302000,88.75,BABA,,-0.018903372781109984,-0.012682160389242525,0.0,0.379607415485278,-0.6204195157956008,0.0,0,1,0
9,2014-09-28,89.69999694824219,88.0199966430664,89.62000274658203,88.75,25302000,88.75,BABA,,0.0,-0.012682160389242525,0.0,0.0,-0.6204195157956008,0.0,1,1,0
10,2014-09-29,89.69999694824219,88.0199966430664,89.62000274658203,88.75,25302000,88.75,BABA,,0.0,-0.012682160389242525,0.0,0.0,-0.6204195157956008,0.0,1,1,0
11,2014-09-30,90.87999725341795,88.45999908447266,89.0,88.8499984741211,24419400,88.8499984741211,BABA,,0.0011267433703785468,0.019272689462717985,0.0,-0.034882617974863694,-0.37401883629241883,0.0,1,1,1
12,2014-10-01,88.94000244140625,86.04000091552734,88.69999694824219,86.0999984741211,24029600,86.0999984741211,BABA,,-0.030951041612015118,-0.049354104402835386,0.0,-0.01596271816670347,-0.25113438045375214,0.0,0,1,0
13,2014-10-02,88.19999694824219,85.61100006103516,86.2699966430664,87.05999755859375,21469700,87.05999755859375,BABA,,0.011149815348268532,-0.020917686107208566,0.0,-0.10653111162899087,-0.24925868941884044,0.0,1,1,0
14,2014-10-03,89.94000244140625,87.6500015258789,88.0999984741211,88.0999984741211,18485700,88.0999984741211,BABA,,0.011945795367469314,-0.02608888607380777,0.0,-0.13898657177324325,0.007944383860414295,0.0,1,1,0
15,2014-10-04,89.6500015258789,88.05999755859375,89.1500015258789,88.30999755859375,9268400,88.30999755859375,BABA,,0.002383644586944511,-0.004957773987676051,0.0,-0.49861785055475316,-0.6336890364398071,0.0,1,1,0
16,2014-10-05,89.6500015258789,88.05999755859375,89.1500015258789,88.30999755859375,9268400,88.30999755859375,BABA,,0.0,-0.004957773987676051,0.0,0.0,-0.6336890364398071,0.0,1,1,0
17,2014-10-06,89.6500015258789,88.05999755859375,89.1500015258789,88.30999755859375,9268400,88.30999755859375,BABA,,0.0,-0.004957773987676051,0.0,0.0,-0.6336890364398071,0.0,1,1,0
18,2014-10-07,89.69999694824219,87.05999755859375,87.94999694824219,87.66999816894531,12791700,87.66999816894531,BABA,,-0.007247190661779812,-0.013280814017340381,0.0,0.3801411246817141,-0.4761664905771641,0.0,0,1,0
19,2014-10-08,88.5,87.05999755859375,88.0,88.30000305175781,10252600,88.30000305175781,BABA,,0.0071860943991175485,0.025551737707614208,0.0,-0.19849589968495196,-0.573334554050005,0.0,1,1,1
20,2014-10-09,90.3499984741211,88.0,88.51000213623047,88.79000091552734,21507000,88.79000091552734,BABA,,0.0055492394885006124,0.019871392205923932,0.0,1.0977117999336752,0.0017373321471656489,0.0,1,1,1
